EBOOK	TITLE	AUTHOR	MISC
47439	The New Glutton or Epicure	by Horace Fletcher
47443	Henner	by François Crastre	[Subtitle: Masterpieces in Colour Series]
47444	The Gastronomic Regenerator:	by Alexis Soyer	[Subtitle: a Simplified and Entirely New System of Cookery, with nearly Two Thousand Practical Receipts suited to the income of all Classes]
47445	Twenty Years a Detective in the Wickedest City in the World	by Clifton R. Wooldridge
47446	Ceremonies of the Pomo Indians	by Samuel Alfred Barrett
47447	Essay on the Life and Institutions of Offa, King of Mercia, A.D. 755-794	by Henry Mackenzie
47448	Harvey's Views on the Use of the Circulation of the Blood	by John G. Curtis
47449	South Africa and the Transvaal War, Vol. 8 of 8	by Various	[Subtitle: South Africa and its Future]	[Editor: Louis Creswicke]
47450	The Gamekeeper at Home	by Richard Jefferies	[Subtitle: Sketches of natural history and rural life (Illustrated)]
47451	The Putnam Hall Rebellion	by Arthur M. Winfield	[Subtitle: or, The Rival Runaways]
47452	The Panama Canal	by Duncan E. McKinlay
47454	Egoists	by James Huneker	[Subtitle: A Book of Supermen]
47455	The Fiction Factory	by John Milton Edwards
47456	Notes on Bookbinding for Libraries	by John Cotton Dana
47457	Jaros Hygienic Wear	by I. Jaros	[Subtitle: The therapeutic and prophylactic application]
47460	Practical Skunk Raising	by William Edwin Pratt	[Subtitle: A Book of Information Concerning the Raising of Skunks for Profit]
47462	Castara	by William Habington	[Subtitle: The Third Edition of 1640; Edited and Collated with the Earlier Ones of 1634, 1635]
47463	Wintering in the Riviera	by William Miller	[Subtitle: With Notes of Travel in Italy and France, and Practical Hints to Travellers]
47464	The Theory of Spectra and Atomic Constitution	by Niels Henrik David Bohr	[Subtitle: Three Essays]
47466	Edinburgh	by Rosaline Masson	[Subtitle: Painted by John Fulleylove; described by Rosaline Masson]
47470	Mrs. Craddock	by W. Somerset Maugham
47471	The Girls of Chequertrees	by Marion St John Webb
47474	Huts in Hell	by Daniel A. Poling
47475	Chronicles of London Bridge	by Richard Thompson
47476	Poems of American History	by Various	[Editor: Burton Egbert Stevenson]
47478	Middlesex	by A. R. Hope Moncrieff	[Subtitle: Painted by John Fulleylove; described by A. R. Hope Moncrieff]
47483	Hesper, the Home-Spirit	by Elizabeth Doten	[Subtitle: A simple story of household labor and love]
47484	America's Black and White Book	by William Allen Rogers	[Subtitle: One Hundred Pictured Reasons Why We Are At War]
47485	Moral Tales	by Madame Guizot
47486	Joyzelle	by Maurice Maeterlinck
47487	Birds and Nature Vol. 9, No. 1, January 1901	by Various	[Editor: William Kerr Higley]
47488	Birds and Nature, Vol. 9, No. 2, February 1901	by Various	[Editor: William Kerr Higley]
47489	Birds and Nature, Vol. 9, No. 3, March 1901	by Various	[Editor: William Kerr Higley]
47490	Birds and Nature, Vol. 9, No. 4, April 1901	by Various	[Editor: William Kerr Higley]
47491	Motor Matt's Red Flyer, or, On the High Gear	by Stanley R. Matthews	[Subtitle: Motor Stories Thrilling Adventure Motor Fiction No. 6, April 3, 1909]
47492	Old Fort Garland	by James T. Forrest and Rosamund Slack
47493	Fort Pulaski National Monument in Georgia	by Ralston B. Lattimore
47494	Talks on Writing English	by Arlo Bates	[Subtitle: First Series]
47496	Greece	by J. A. McClymont	[Subtitle: Painted by John Fulleylove; described by J. A. McClymont]
47498	Birds and all Nature, Vol. IV, No. 1, July 1898	by Various	[Subtitle: Illustrated by Color Photography]
47499	Philosophy in Sport Made Science in Earnest	by John Ayrton Paris	[Subtitle: Being an Attempt to Illustrate the First Principles of Natural Philosophy by the Aid of Popular Toys and Sports]
47500	Bird Lore, Volume I, 1899	by Various	[Editor: Frank M. Chapman]
47501	Married Love	by Marie Carmichael Stopes	[Subtitle: A New Contribution to the Solution of Sex Difficulties]
47505	Louis Pasteur	by René Vallery-Radot	[Subtitle: His Life and Labours]
47506	The Coming of the Fairies	by Arthur Conan Doyle
47507	Golden Grain	by Various	[Subtitle: Garnered from the World's Great Harvest-field of Knowledge Comprising Selections from the Ablest Modern Writers of Prose, Poetry, and Legendary Lore]	[Editor: Joshua C. Chilton]
47508	Wasps	by George W. Peckham and Elizabeth G. Peckham	[Subtitle: Social and Solitary]
47509	An Essay to the Restoring of our Decayed Trade	by Joseph Trevers	[Subtitle: Wherein is Described, the Smuglers, Lawyers, and Officers Frauds &c.]
47511	Haiti	by J. Dryden Kuser	[Subtitle: Its dawn of progress after years in a night of revolution]
47512	Chats on Old Miniatures	by J. J. Foster
47513	The Flea	by Harold Russell
47515	Ulric the Jarl	by William O. Stoddard	[Subtitle: A Story of the Penitent Thief]
47517	Desiderius Erasmus of Rotterdam	by Ephraim Emerton
47518	Shakespeare's Comedy of The Tempest	by William Shakespeare
47519	President Heber C. Kimball's Journal	by Heber C. Kimball	[Subtitle: Seventh Book of the Faith-Promoting Series]
47520	Our Pilgrim Forefathers	by Loveday A. Nelson	[Subtitle: Thanksgiving Studies]
47521	Life and Times of Her Majesty Caroline Matilda, Vol. I of III	by C. F. Lachelles Wraxall	[Subtitle: Queen of Denmark and Norway]
47523	The Bishop's Apron	by W. Somerset Maugham	[Subtitle: A study in the origins of a great family]
47524	Elsket and Other Stories	by Thomas Nelson Page
47525	Aunt Crete's Emancipation	by Grace Livingston Hill
47526	Precious Memories	by Various	[Subtitle: Sixteenth Book of the Faith Promoting Series]
47527	Lillian Morris, and Other Stories	by Henryk Sienkiewicz	[Subtitle: Lillian Morris; Sachem; Yamyol; The Bull-Fight]
47528	A Satire Anthology	by Various
47529	Oliver Twist, Vol. I of 3	by Charles Dickens
47530	Oliver Twist, Vol. II of 3	by Charles Dickens
47531	Oliver Twist, Vol. III of 3	by Charles Dickens
47532	The Catacombs of Rome	by William Henry Withrow	[Subtitle: and Their Testimony Relative to Primitive Christianity]
47533	The Forest Farm	by Peter Rosegger	[Subtitle: Tales of the Austrian Tyrol]
47534	Posthumous Papers of the Pickwick Club, Vol. 1 of 2	by Charles Dickens
47535	Posthumous Papers of the Pickwick Club, Vol. 2 of 2	by Charles Dickens
47536	The Country's Need of Greater Railway Facilities and Terminals	by James Jerome Hill	[Subtitle: Address Delivered at the Annual Dinner of the Railway Business Association, New York City, December 19, 1912]
47537	The Marquis D'Argenson: A Study in Criticism	by Arthur Ogle	[Subtitle: Being the Stanhope Essay: Oxford, 1893]
47538	A Lamp to the Path	by W. K. Tweedie	[Subtitle: Or, The Word of God in the Heart, the Home, the Workshop and the Market-Place]
47546	Iconoclasts	by James Huneker	[Subtitle: A Book of Dramatists: Ibsen, Strindberg, Becque, Hauptmann, Sudermann, Hervieu, Gorky, Duse and D'Annunzio, Maeterlinck and Bernard Shaw]
47548	Human Bullets	by Tadayoshi Sakurai	[Subtitle: A Soldier's Story of Port Arthur]
47549	Bonnie Scotland	by A. R. Hope Moncrieff	[Subtitle: Painted by Sutton Palmer; Described by A. R. Hope Moncrieff]
47553	Bobby Blake on a Plantation	by Frank A. Warner	[Subtitle: Lost in the Great Swamp]
47554	Gypsies of the Air	by Bess Moyer
47555	The Wizard's Son, Vol. 1 of 3	by Margaret Oliphant
47556	The Wizard's Son, Vol. 2 of 3	by Margaret Oliphant
47557	The Wizard's Son, Vol. 3 of 3	by Margaret Oliphant
47558	Pen Pictures	by B. F. Craig	[Subtitle: Of Eventful Scenes and Struggles of Life]
47559	The Prude's Progress	by Jerome K. Jerome and Eden Phillpotts	[Subtitle: A Comedy in Three Acts]
47560	The Schoolmistress	by Arthur W. Pinero	[Subtitle: A Farce in Three Acts]
47561	Trelawny of The Wells	by Arthur W. Pinero	[Subtitle: A Comedietta in Four Acts]
47562	The Putnam Hall Encampment	by Arthur M. Winfield	[Subtitle: or, The Secret of the Old Mill]
47563	Jim	by Charles G. D. Roberts	[Subtitle: The Story of a Backwoods Police Dog]
47564	Twilight Land	by Howard Pyle
47567	Birds and Nature Vol. 11, No. 1, January 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47568	Birds and Nature Vol. 11, No. 2, February 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47569	Birds and Nature Vol. 11, No. 3, March 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47570	Birds and Nature Vol. 11, No. 4, April 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47571	Neaera	by John W. Graham	[Subtitle: A Tale of Ancient Rome]
47575	The Story of a Country Town	by Edgar Watson Howe
47576	The Moon Colony	by William Dixon Bell
47577	The Jesuit Relations and Allied Documents, Vol. IV	by Various	[Subtitle: Acadia and Quebec: 1616-1629]	[Editor: Reuben Gold Thwaites]
47578	Country Rambles, and Manchester Walks and Wild Flowers, Leo H. Grindon	[Subtitle: Being Rural Wanderings in Cheshire, Lancashire, Derbyshire, and Yorkshire]
47579	Birds and all Nature, Vol. IV, No. 4, October 1898	by Various	[Subtitle: Illustrated by Color Photography]
47580	Birds and all Nature, Vol. IV, No. 2, August 1898	by Various	[Subtitle: Illustrated by Color Photography]
47581	Birds and all Nature, Vol. IV, No. 3, September 1898	by Various	[Subtitle: Illustrated by Color Photography]
47582	The Adventures of Captain Mago	by Léon Cahun	[Subtitle: Or A Phoenician Expedition B.C. 1000]
47583	The Curlytops at Silver Lake	by Howard Roger Garis
47585	Clothing and Health	by Helen Kinne and Anna M. Cooley	[Subtitle: An Elementary Textbook of Home Making]
47586	Everyday Objects	by W. H. Davenport Adams	[Subtitle: Or Picturesque Aspects of Natural History]
47587	Anatole France	by Georg Morris Cohen Brandes
47588	Friedrich Nietzsche	by Georg Brandes
47591	The Ladies Lindores, Vol. 1 of 3	by Margaret Oliphant
47592	The Ladies Lindores, Vol. 2 of 3	by Margaret Oliphant
47593	The Ladies Lindores, Vol. 3 of 3	by Margaret Oliphant
47595	Memorials of the Life of Amelia Opie	by Cecilia Lucy Brightwell	[Subtitle: Selected and Arranged from her Letters, Diaries, and other Manuscripts]
47596	Four Short Plays	by Florence Eveleen Eleanore Olliffe	[Author a.k.a. Lady Bell]
47597	Deering of Deal	by Latta Griswold	[Subtitle: Or, The Spirit of the School]
47598	The Eternal Feminine	by Carolyn Wells
47599	Illustrations of Exotic Entomology, Volume 1	by Dru Drury	[Editor: John Obadiah Westwood]
47600	Illustrations of Exotic Entomology, Volume 2	by Dru Drury	[Editor: John Obadiah Westwood]
47601	Illustrations of Exotic Entomology, Volume 3	by Dru Drury	[Editor: John Obadiah Westwood]
47602	Birds and All Nature, Vol. III, No. 3, March 1898	by Various	[Subtitle: Illustrated by Color Photography]
47603	Birds and All Nature, Vol. IV, No. 5, November 1898	by Various	[Subtitle: Illustrated by Color Photography]
47605	Proofs of a Conspiracy against all the Religions and Governments of Europe	by John Robison	[Subtitle: carried on in the secret meetings of free masons, illuminati, and reading societies]
47606	Punch, or the London Charivari, Vol. 109, October 19 1895	by Various
47607	The Ballads and Songs of Yorkshire	by C. J. Davison Ingledew	[Subtitle: Transcribed from Private Manuscripts, Rare Broadsides, and Scarce Publications; with Notes and a Glossary]
47609	Nursery Comedies	by Lady Florence Eveleen Eleanore Bell	[Subtitle: Twelve Tiny Plays for Children]
47610	Sir Joshua Reynolds' Discourses	by Sir Joshua Reynolds	[Subtitle: Edited, with an Introduction	by Helen Zimmern]
47611	The Relief of Chitral	by George John Younghusband and Francis Edward Younghusband
47612	Safar Nameh, Persian Pictures	by Gertrude Bell	[Subtitle: A Book Of Travel]
47613	The Mystery Hunters at the Haunted Lodge	by Capwell Wyckoff
47614	When Sarah Went to School	by Elsie Singmaster
47615	The Saddle Boys at Circle Ranch	by James Carson	[Subtitle: In at the Grand Round-Up]
47616	Children's Book of Gardening	by Mrs. Alfred Sidgwick and Mrs. Paynter
47617	Edinburgh under Sir Walter Scott	by W. T. Fyfe
47618	At His Gates, Vol. 1 of 3	by Margaret Oliphant
47619	At His Gates, Vol. 2 of 3	by Margaret Oliphant
47620	At His Gates, Vol. 3 of 3	by Margaret Oliphant
47621	Fenelon's Treatise on the Education of Daughters	by François Fénelon	[Subtitle: Translated from the French, and Adapted to English Readers]
47624	A Lady of Rome	by F. Marion Crawford
47625	Motor Matt's Clue	by Stanley R. Matthews	[Subtitle: or, The Phantom Auto]
47626	The Ocean World:	by Louis Figuier and Charles O. Groom-Napier	[Subtitle: Being a Description of the Sea and its Living Inhabitants]
47627	The Quest for a Lost Race	by Thomas E. Pickett
47628	A Corner of Spain	by Walter Wood
47630	Birth of a Reformation	by Andrew Byers	[Subtitle: The Life and Labors of Daniel S. Warner]
47633	Copper Coleson's Ghost	by Edward P. Hendrick
47634	Sons and Lovers	by D. H. Lawrence
47635	Alice's Blighted Profession	by Helen C. Clifford	[Subtitle: A Sketch for Girls]
47636	Birds and Nature Vol. 9 No. 5, May 1901	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47637	Birds and Nature Vol. 11 No. 5, May 1902	by Various	[Subtitle: Illustrated by Color Photography]	[Editor: William Kerr Higley]
47638	A treatise on the culture of the tobacco plant with the manner in which it is usually cured	by Jonathan Carver	[Subtitle: Adapted to northern climates, and designed for the use of the landholders of Great-Britain]
47639	Hints on Wolf and Coyote Trapping	by Stanley P. Young
47640	The Woman Gives	by Owen Johnson	[Subtitle: A Story of Regeneration]
47641	The Works of John Dryden. Now first collected in eighteen volumes. Volume 15	[Subtitle: Illustrated with notes, historical, critical and explanatory, and the life of the author	by Walter Scott,esq.]
47642	The Strand Magazine	by Various	[Subtitle: Vol. XXVII, February 1904, No. 159]
47643	Mary Lamb	by Anne Burrows Gilchrist
47644	A Year in Europe	by Walter W. Moore
47646	Joan of the Journal	by Helen Diehl Olds
47647	Famous Indian Chiefs	by Charles H. L. Johnston	[Subtitle: Their Battles, Treaties, Sieges, and Struggles with the Whites for the Possession of America]
47648	Geology	by William J. Miller	[Subtitle: The Science of the Earth's Crust]
47649	Birds, Vol. 3, No 6, June 1898	by Various	[Subtitle: Illustrated by Color Photography]
47651	Poetical Works of William Wordsworth, Vol. 6 of 8
47654	The Monster	by Edgar Saltus
47655	Six Girls and Bob	by Marion Ames Taggart	[Subtitle: A Story of Patty-Pans and Green Fields]
47656	Harper's Young People, May 10, 1881	by Various	[Subtitle: An Illustrated Weekly]
47657	Report of Governor's Representatives for California at Alaska-Yukon-Pacific Exposition Commission	by J. A. Filcher and Frank Wiggins
47658	The Problem of Truth	by H. Wildon Carr
47661	Life of Sir William Wallace of Elderslie, Vol. 1 of 2	by John D. Carrick
47662	Life of Sir William Wallace of Elderslie, Vol, 2 of 2	by John D. Carrick
47663	Mr. Oseba's Last Discovery	by George W. Bell
47669	Harper's Young People, May 17, 1881	by Various	[Subtitle: An Illustrated Weekly]
47670	A Sketch in the Life and Times of Judge Haliburton	by Robert Grant Haliburton
47671	The Heart of the Ancient Wood	by Charles G. D. Roberts
47672	Harper's Young People, May 24, 1881	by Various	[Subtitle: An Illustrated Weekly]
47673	The Pinos Altos Story	by Dorothy Watson
47674	Shameless Wayne	by Halliwell Sutcliffe	[Subtitle: A Romance of the last Feud of Wayne and Ratcliffe]
47675	Main Currents in Nineteenth Century Literature – 1. The Emigrant Literature	by Georg Brandes
47676	The Amores, or Amours	by Ovid	[Subtitle: Literally Translated into English Prose, with Copious Notes]
47677	Ars Amatoria, or The Art Of Love	by Ovid	[Subtitle: Literally Translated into English Prose, with Copious Notes]
47678	Remedia A Moris or, The Remedy Of Love	by Ovid	[Subtitle: Literally Translated into English Prose, with Copious Notes]
47679	Dryden's Works, Vol. 8 of 18: Amphitryon; King Arthur; Cleomenes; Love Triumphant	by John Dryden
47682	American Book-Plates	by Charles Dexter Allen	[Subtitle: A Guide to their Study with Examples]
47683	Daisy	by Margaret Marshall Saunders
47684	Harper's Young People, May 31, 1881	by Various	[Subtitle: An Illustrated Weekly]
47685	Lancaster's Choice	by Mrs. Alex. McVeigh Miller
47687	The Brochure Series of Architectural Illustration, Vol. 6, No. 1, January 1900	by A. D. F. Hamlin and Others	[Subtitle: The Ten Most Beautiful Buildings in the United States]
47688	The Brochure Series of Architectural Illustration, Vol. 6, No. 2, February 1900	by Various	[Subtitle: Japanese Gardens]
47689	The Brochure Series of Architectural Illustration, Vol. 6, No. 3, March 1900	by Various	[Subtitle: Spanish Wrought-Iron Screens, XII. Century Capitals from the Benedictine Monastery, Monreale]
47690	Canadian Scenery, Vol. 1 of 2	by Nathaniel Parker Willis
47691	Canadian Scenery, Volume 2 of 2	by Nathaniel Parker Willis
47692	The English and Scottish popular ballads, Vol. 2 of 5	by Various	[Editor: Francis James Child]
47693	Glimpse at Guatemala	by Anne Cary Maudslay and Alfred Percival Maudslay	[Subtitle: And Some Notes on the Ancient Monuments of Central America]
47694	The Labour-saving House	by Dorothy Constance Bayliff Peel
47695	Kaffir, Kangaroo, Klondike	by Thaddeus William Henry Leavitt	[Subtitle: Tales of the Gold Fields]
47696	Barry Blake of the Flying Fortress	by Gaylord Du Bois
47697	Odette's Marriage	by Albert Delpit	[Subtitle: A Novel, From The French Of Albert Delpit, Translated From The Revue Des Deux Mondes, by Emily Prescott]
47699	Harper's Young People, June 7, 1881	by Various	[Subtitle: An Illustrated Weekly]
47701	Encyclopedia of Diet, Vol. 4 of 5	by Eugene Christian	[Subtitle: A Treatise on the Food Question]
47702	Through the Gates of Old Romance	by W. Jay Mills
47703	Wilford Woodruff	by Matthias F. Cowley and Wilford Woodruff	[Subtitle: History of his Life and Labors as Recorded in his Daily Journals]
47704	Masters in Art, Part 79, Volume 7, July, 1906: Ingres	by Anonymous	[Subtitle: A Series of Illustrated Monographs]
47705	A Sister of the Red Cross	by Mrs. L. T. Meade	[Subtitle: A Tale of the South African War]
47707	History of the Church of Jesus Christ of Latter-day Saints, Vol. 3	by Joseph Smith
47708	Biography and Family Record of Lorenzo Snow	by Eliza R. Snow Smith	[Subtitle: One of the Twelve Apostles of the Church of Jesus Christ of Latter-day Saints]
47709	Harper's Young People, June 14, 1881	by Various	[Subtitle: An Illustrated Weekly]
47714	English Heraldic Book-stamps	by Cyril Davenport
47715	The Works of William Shakespeare [Cambridge Edition], Vol. 7 of 9
47718	Mr. Punch At Home	by Various
47719	Railway Rates: English and Foreign	by J. Grierson
47721	Southern Hearts	by Florence Hull Winterburn
47722	Journal in France in 1845 and 1848 with Letters from Italy in 1847	by Thomas William Allies	[Subtitle: Of Things Concerning the Church and Education]
47723	The Island of Enchantment	by Justus Miles Forman
47725	Minnesota	by William Watts Folwell	[Subtitle: The North Star State]
47726	The Rivers of Great Britain: Rivers of the East Coast	by Various
47727	Different modes of cultivating the pine-apple	by John Claudius Loudon	[Subtitle: From its first introduction into Europe to the late improvements of T. A. Knight, esq.]
47728	Birds and all Nature, Vol. 4, No. 6, December 1898	by Various	[Subtitle: Illustrated by Color Photography]
47729	Harper's Young People, June 21, 1881	by Various	[Subtitle: An Illustrated Weekly]
47730	Defense of the Faith and the Saints, Vol. 1 of 2	by B. H. Roberts
47731	Graham's Magazine, Vol. 41, No. 1, July 1852	by Various	[Editor: George R. Graham]
47732	Harper's Young People, June 28, 1881	by Various	[Subtitle: An Illustrated Weekly]
47735	The Bull Calf and Other Tales	by A. B. Frost
47736	Graham's Magazine, Vol. 41, No. 2, August 1852	by Various	[Editor: George R. Graham]
47737	From the Australian Front	by Anonymous
47738	Captain Ravenshaw	by Robert Neilson Stephens	[Subtitle: Or The Maid of Cheapside, A Romance of Elizabethan London]
47739	The Wyndam Girls	by Marion Ames Taggart
47744	Sekhet	by Irene Miller
47745	A Sub and a Submarine	by Percy F. Westerman	[Subtitle: The Story of H.M. Submarine R19 in the Great War]
47746	Campfire and Battlefield	by Rossiter Johnson	[Subtitle: An Illustrated History of the Campaigns and Conflicts of the Great Civil War]
47747	The Incarnate Purpose	by G. H. Percival	[Subtitle: Essays on the Spiritual Unity of Life]
47748	The Reason Why	by Anonymous	[Subtitle: A careful collection of many Hundreds of Reasons for Things which, though Generally Believed, are Imperfectly Understood]
47749	Letters from a Sûfî Teacher	by Shaikh Sharfuddîn Manerî
47750	Wanderlust	by Robert Rice Reynolds
47751	Graham's Magazine, Vol. 41, No. 3, September 1852	by Various	[Editor: George R. Graham]
47752	Graham's Magazine, Vol. 41, No. 4, October 1852	by Various	[Editor: George R. Graham]
47753	A History of England	by Charles Oman	[Subtitle: Eleventh Edition]
47755	Birds and all Nature, Vol. 5, No. 1, January 1899	by Various	[Subtitle: Illustrated by Color Photography]
47757	A Manual of Philippine Birds	by Richard McGregor	[Subtitle: Part I: Galliformes to Eurylaemiformes]
47759	A History of England, Period III	by Rev. J. Franck Bright	[Subtitle: Constitutional Monarchy]
47760	Three Hundred Things a Bright Boy Can Do	by Anonymous
47761	The Dates of Variously-shaped Shields	by George Grazebrook	[Subtitle: With Coincident Dates and Examples]
47762	Records of Steam Boiler Explosions	by Edward Bindon Marten
47763	The Cornish Coast (South)	by Charles G. Harper	[Subtitle: And the Isles of Scilly]
47764	Stories of Heroic Deeds for Boys and Girls	by James Johonnot	[Subtitle: Historical Series - Book 2]
47765	Profitable Instruction of the Perfite Ordering of Bees	by Thomas Hyll	[Subtitle: With the Maruellous Nature, Propertie, and Gouernemente of Them: and the Necessarie Vses Both of Their Honie and Waxe, Seruing Diuersly, as Well in Inward as Outward Causes: Gathered Out of the Best Writers]
47766	Propaganda for Reform in Proprietary Medicines, Vol. 1 of 2	by Various
47767	Propaganda for Reform in Proprietary Medicines, Vol. 2 of 2	by Various
47769	Sargossa	by Benito Pérez Galdós	[Subtitle: A Story of Spanish Valor]
47770	The Saturday Magazine, No. 65, July 6th, 1833	by Various
47771	Mirk Abbey, Vol. 1 of 3	by James Payn
47772	Mirk Abbey, Vol. 2 of 3	by James Payn
47773	Mirk Abbey, Vol. 3 of 3	by James Payn
47774	The Observations of Henry	by Jerome K. Jerome	[Subtitle: Illustrated]
47775	Kitty Carter, Canteen Girl	by Ruby Lorraine Radford
47776	The Dreadnought Boys on Battle Practice	by John Henry Goldfrap	[Author a.k.a. Wilbur Lawton]
47778	Battle of the Crater and Experiences of Prison Life	by Sumner Upham Shearman
47779	A List of Educational Works Published by Methuen & Company, June 1900	by Methuen & Company
47780	The Story of the Crusades	by E. M. Wilmot-Buxton
47781	Main Currents in Nineteenth Century Literature, Vol. 2 of 6: The Romantic School in Germany	by George Brandes
47782	The Friar's Daughter	by Charles Lincoln Phifer	[Subtitle: A Story of the American Occupation of the Philippines]
47785	The Rock of the Lion	by Molly Elliot Seawell
47787	Brief Lives, Vol. 1 of 2	by John Aubrey
47788	Motor Matt's Triumph, or, Three Speeds Forward	by Stanley R. Matthews
47789	The Doctor's Red Lamp	by Various	[Subtitle: A Book of Short Stories Concerning the Doctor's Daily Life]	[Editor: Charles Wells Moulton]
47790	The Works of William Cowper	[Subtitle: His life, letters, and poems, now first completed by the introduction of Cowper's private correspondence]
47791	Brief Lives, Vol. 2 of 2	by John Aubrey
47792	Mr. Punch's Dramatic Sequels	by St. John Hankin
47793	Sparky Ames of the Ferry Command	by Roy J. Snell	[Subtitle: Sparky Ames and Mary Mason of the Ferry Command]
47794	Main Currents in Nineteenth Century Literature, Vol. 3 of 6, The Reaction in France
47795	Recollections with the Third Iowa Regiment	by Seymour Dwight Thompson
47796	Bygone London	by Frederick Ross
47800	Highways and Byways in The Border	by Andrew Lang and John Lang	[Subtitle: Illustrated]
47801	Birds and all Nature, Vol. 5, No. 2, February 1899	by Various	[Subtitle: Illustrated by Color Photography]
47803	Coal and Candelight, and Other Verses	by Helen Parry Eden
47805	The Knickerbocker, Vol. 22, No. 5, November 1843	by Various
47806	Under Cæsars' Shadow	by Henry Francis Colby
47808	Dog Breaking	by William Nelson Hutchinson	[Subtitle: The Most Expeditious, Certain, and Easy Method, Whether Great Excellence or Only Mediocrity Be Required, With Odds and Ends for Those Who Love the Dog and Gun]
47809	Montreal, 1535-1914, under the French Régime	by William Henry Atherton	[Subtitle: Vol. 1, 1535-1760]
47810	The White Conquerors	by Kirk Munroe	[Subtitle: A Tale of Toltec and Aztec]
47811	'Abe' Lincoln's Anecdotes and Stories	by Abraham Lincoln	[Subtitle: A Collection of the Best Stories told by Lincoln which made him famous as America's Best Story Teller]
47813	Normandy	by G. E. Mitton
47814	A Diary Kept by Mrs. R. C. Germon, at Lucknow, Between the Months of May and December, 1857	by Maria Vincent Germon
47815	Francisco the Filipino	by Burtis M. Little
47816	The Silversmith's Handbook	by George E. Gee	[Subtitle: Containing full instructions for the alloying and working of silver]
47817	The Brand	by Therese Broderick	[Subtitle: A Tale of the Flathead Reservation]
47819	The Knickerbocker, Vol. 22, No. 1, July 1843	by Various
47822	The Gladiators	by G. J. Whyte-Melville	[Subtitle: A Tale of Rome and Judaea]
47823	Jewellery	by H. Clifford Smith
47824	The Pier-Glass	by Robert Graves
47825	Darkness and Dawn	by Frederic W. Farrar	[Subtitle: Or Scenes in the Days of Nero. An Historic Tale]
47826	A Tender Attachment	by George Melville Baker	[Subtitle: A Farce]
47828	The Knickerbocker, Vol. 22, No. 3, September 1843	by Various
47829	American Missionary, Vol. 33, No. 02, February, 1879	by Various
47830	The Burgomaster of Stilemonde	by Maurice Maeterlinck	[Subtitle: A Play in Three Acts]
47831	Railroads: Rates and Regulations	by William Z. Ripley
47832	Perpetua	by Sabine Baring-Gould	[Subtitle: A Tale of Nimes in A.D. 213]
47833	Archaeological Essays Vol. 2	by James Y. Simpson
47834	The Pansy Magazine, August 1886	by Various	[Editor: Isabella Alden]
47836	The Matron's Manual of Midwifery, and the Diseases of Women During Pregnancy and in Childbed	by Frederick Hollick	[Subtitle: Being a Familiar and Practical Treatise, more especially intended for the Instruction of Females themselves, but adapted also for Popular Use among Students and Practitioners of Medicine]
47837	The Mysteryes of Nature and Art	by John Bate	[Subtitle: Conteined in foure severall Tretises, The first of water workes, The second of Fyer workes, The third of Drawing, Colouring, Painting, and Engraving, The fourth of divers Experiments, as wel serviceable as delightful: partly Collected, and partly of the Authors Peculiar Practice, and Invention]
47838	Notes on the History of Argentine Independence	by C. W. Whittemore
47840	Birds and All Nature, Vol. 5, No. 3, March 1899	by Various	[Subtitle: Illustrated by Color Photography]
47841	The Haunted Fountain	by Margaret Sutton	[Subtitled: A Judy Bolton Mystery]
47842	Queen Moo's Talisman	by Alice Dixon Le Plongeon	[Subtitle: The Fall of the Maya Empire]
47844	The Young Collector's Handbook of Ants, Bees, Dragon-flies, Earwigs, Crickets, and Flies	by W. Harcourt Bath	[Subtitle: Hymenoptera, Neuroptera, Orthoptera, Hemiptera, Diptera]
47845	Longhead: The Story of the First Fire	by C. H. Robinson
47847	Studies in the Theory of Descent, Vol. 1 of 2	by August Weismann
47848	Studies in the Theory of Descent, Vol. 2 of 2	by August Weismann
47849	Studies in the Theory of Descent, Vols. 1 and 2	by August Weismann
47850	The Home at Greylock	by Elizabeth Prentiss
47851	The Knickerbocker, Vol. 22, No. 4, October 1843	by Various
47852	Graham's Magazine, Vol. 41, No. 5, November 1852	by Various	[Editor: George R. Graham]
47854	Greenacre Girls	by Izola L. Forrester
47856	What the Boys Did Over There	by Various	[Editor: Henry Landell Fox]	[Subtitle: By Themselves]
47857	Adrift in the Arctic Ice Pack	by Elisha Kent Kane	[Subtitle: From the history of the first U.S. Grinnell Expedition in search of Sir John Franklin]
47858	The Islets of the Channel	by Walter Cooper Dendy
47859	Petrarch's Letters to Classical Authors	by Francesco Petrarca
47860	The Mercy of Allah	by Hilaire Belloc
47862	Chapter of Autobiography	by W. E. Gladstone
47864	The Assyrian and Hebrew Hymns of Praise	by Charles Gordon Cumming
47865	Smithsonian Report on the Construction of Catalogues of Libraries and their Publication by Means of Separate, Stereotyped Titles	by Charles C. Jewett	[Subtitle: With Rules and Examples]
47866	The Knickerbocker, Vol. 57, No. 1, January 1861	by Various
