EBOOK	TITLE	AUTHOR	MISC
323	Verses 1889-1896	by Rudyard Kipling
324	A Knight of the Cumberland	by John Fox Jr.
325	Phantastes	by George MacDonald	[Subtitle: A Faerie Romance for Men and Women]
326	Steep Trails	by John Muir
327	The Princess Aline	by Richard Harding Davis
328	A Heap o' Livin'	by Edgar A. Guest
329	Island Nights' Entertainments	by Robert Louis Stevenson
330	Where There's A Will	by Mary Roberts Rinehart
331	The Mucker	by Edgar Rice Burroughs
332	The Burial of the Guns	by Thomas Nelson Page
333	Robert Louis Stevenson	by Walter Raleigh
334	Episodes in Van Bibber's Life	by Richard Harding Davis
335	Frances Waldeaux	by Rebecca Harding Davis
336	Indian Heroes and Great Chieftains	by Charles A. Eastman	[Author a.k.a. Ohiyesa]
337	Indian Boyhood	by Charles A. Eastman	[Author a.k.a. Ohiyesa]
338	Old Indian Legends	by Zitkala-Sa
339	Old Indian Days,  by Charles A. Eastman	[Author a.k.a. Ohiyesa]
340	The Soul of the Indian	by Charles A. Eastman	[Subtitle: An Interpretation]	[Author a.k.a. Ohiyesa]
341	Myths and Legends of the Sioux	by Marie L. McLaughlin
342	Margaret Ogilvy	by J. M. Barrie
343	Fables	by Robert Louis Stevenson
344	The Merry Men, and Other Tales and Fables	by Robert Louis Stevenson
345	Dracula	by Bram Stoker
346	The Troll Garden, et al	by Willa Cather
347	Grettir The Strong	by Unknown	[Subtitle: Grettir's Saga]
348	Hesiod, The Homeric Hymns, and Homerica	by Homer and Hesiod
349	The Harvester	by Gene Stratton Porter
350	Fanny Herself	by Edna Ferber
351	Of Human Bondage	by W. Somerset Maugham
352	Buttered Side Down	by Edna Ferber
353	In Flanders Fields and Other Poems	by John McCrae	[Subtitle: With an Essay in Character by Sir Andrew Macphail]
354	The Story of a Pioneer	by Anna Howard Shaw	[Subtitle: With The Collaboration Of Elizabeth Jordan]
355	The Parasite	by Arthur Conan Doyle
356	Beyond the City	by Arthur Conan Doyle
357	A Dream of John Ball, A King's Lesson	by William Morris
